e1_c1,e1_c2,e1_c3,e2_c2,e3_c2,e1_c4,e1_c5,e2_c4,e3_c4,e2_c5,e3_c5,e1_c6,e2_c6,e2_c1,e3_c6,e1_c7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0
1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0
1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0
1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0
1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1
c1,c2,c3,c2,c2,c4,c5,c4,c4,c5,c5,c6,c6,c1,c6,c7
